TASK,TYPE,ITEM_ID,ANNOTATOR_ID,TIME,SYSTEM_0,SCORE_0_A,SCORE_0_B,SYSTEM_1,SCORE_1_A,SCORE_1_B,SYSTEM_2,SCORE_2_A,SCORE_2_B,SYSTEM_3,SCORE_3_A,SCORE_3_B,SYSTEM_4,SCORE_4_A,SCORE_4_B
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,380,0,28,limsi,1,,rbmt6,1,,rbmt3,1,,uedin,1,,rbmt2,3,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,980,0,48,saar,2,,liu,2,,uedin,2,,rbmt5,2,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1112,0,22,rbmt4,1,,limsi,1,,liu,1,,rbmt3,1,,cmu-statxfer,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,667,0,28,cmu-statxfer,2,,rbmt6,2,,limsi,1,,rbmt5,2,,rbmt2,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,869,0,50,uedin,3,,rbmt3,2,,limsi,2,,rbmt4,2,,rbmt6,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,401,0,17,rbmt6,1,,limsi,1,,uedin,1,,rbmt4,2,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1158,3,14,rbmt3,1,,ucl,1,,uedin,1,,liu,1,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,163,3,41,cmu-statxfer,2,,liu,1,,limsi,1,,uedin,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,231,3,18,limsi,1,,ucl,3,,rbmt2,1,,uedin,1,,rbmt6,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,345,3,33,saar,1,,rbmt4,2,,rbmt6,2,,rbmt5,2,,uedin,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,741,3,29,rbmt6,2,,rbmt4,2,,saar,3,,liu,1,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,299,3,49,saar,2,,liu,1,,rbmt4,2,,limsi,2,,rbmt2,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,809,3,16,uedin,1,,limsi,1,,liu,1,,cmu-statxfer,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,710,3,40,cmu-statxfer,2,,uedin,1,,rbmt6,1,,ucl,1,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,157,3,28,saar,2,,cmu-statxfer,2,,rbmt2,1,,limsi,2,,uedin,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,226,3,81,rbmt3,3,,rbmt5,2,,ucl,2,,limsi,3,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,367,3,14,liu,1,,rbmt4,1,,cmu-statxfer,1,,ucl,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,571,3,63,rbmt2,2,,uedin,1,,rbmt3,2,,saar,2,,rbmt6,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,911,3,11,limsi,1,,ucl,1,,liu,1,,cmu-statxfer,1,,rbmt5,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,913,3,20,rbmt2,1,,uedin,1,,ucl,1,,rbmt5,1,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1081,3,78,rbmt4,1,,cmu-statxfer,1,,rbmt3,1,,ucl,1,,rbmt5,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,605,3,34,saar,2,,rbmt2,1,,uedin,1,,rbmt4,1,,ucl,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,815,3,44,rbmt3,1,,uedin,1,,rbmt6,1,,rbmt5,1,,rbmt2,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1047,3,51,uedin,1,,liu,1,,rbmt4,2,,rbmt2,2,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,992,3,16,liu,1,,rbmt5,2,,rbmt2,1,,ucl,2,,rbmt4,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,231,3,23,limsi,1,,ucl,3,,rbmt2,1,,uedin,1,,rbmt6,3,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1047,12,42,rbmt4,1,,rbmt3,1,,cmu-statxfer,2,,ucl,2,,rbmt5,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,525,12,25,cmu-statxfer,2,,saar,1,,ucl,1,,rbmt4,1,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1149,12,14,rbmt6,1,,uedin,1,,limsi,1,,rbmt5,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,749,12,25,rbmt2,1,,ucl,1,,rbmt4,1,,rbmt3,1,,rbmt5,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1166,12,24,rbmt4,1,,rbmt6,1,,rbmt2,1,,ucl,2,,rbmt5,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,6,12,10,rbmt4,1,,cmu-statxfer,1,,limsi,1,,rbmt6,1,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,231,12,22,saar,1,,rbmt6,1,,cmu-statxfer,1,,limsi,1,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,333,12,11,cmu-statxfer,1,,rbmt6,1,,rbmt3,1,,rbmt4,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,963,12,14,rbmt2,1,,rbmt4,2,,uedin,1,,rbmt5,2,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,299,12,39,cmu-statxfer,2,,rbmt6,1,,ucl,2,,rbmt3,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1035,12,46,rbmt3,1,,rbmt2,1,,limsi,1,,rbmt5,2,,cmu-statxfer,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,95,12,21,rbmt6,1,,ucl,2,,rbmt3,1,,rbmt5,1,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,761,12,13,rbmt4,1,,rbmt6,1,,rbmt3,1,,saar,1,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,857,12,20,cmu-statxfer,1,,rbmt6,1,,rbmt3,1,,rbmt5,1,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1217,12,45,saar,1,,uedin,1,,rbmt5,1,,rbmt2,1,,cmu-statxfer,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1340,12,30,rbmt4,1,,ucl,2,,cmu-statxfer,1,,uedin,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,831,12,49,ucl,2,,uedin,2,,saar,2,,rbmt4,1,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,537,12,18,uedin,2,,rbmt5,1,,cmu-statxfer,2,,saar,1,,ucl,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,673,12,31,saar,1,,rbmt5,1,,cmu-statxfer,2,,rbmt6,1,,rbmt2,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1149,12,13,rbmt6,1,,uedin,1,,limsi,1,,rbmt5,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,673,12,21,rbmt6,2,,rbmt5,1,,cmu-statxfer,2,,uedin,1,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,927,12,43,rbmt5,1,,cmu-statxfer,2,,limsi,1,,ucl,2,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,411,12,17,cmu-statxfer,1,,rbmt5,1,,uedin,1,,rbmt6,1,,rbmt3,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,605,12,30,rbmt6,2,,rbmt2,1,,saar,2,,limsi,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1138,12,13,rbmt6,1,,rbmt5,1,,rbmt3,2,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1060,12,31,ucl,1,,rbmt5,2,,rbmt2,2,,rbmt6,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1115,12,37,uedin,2,,rbmt2,2,,saar,2,,cmu-statxfer,2,,rbmt3,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,611,12,30,rbmt4,1,,uedin,1,,saar,1,,limsi,1,,rbmt3,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1285,12,9,limsi,1,,saar,1,,uedin,1,,rbmt2,1,,cmu-statxfer,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,968,12,12,rbmt5,1,,rbmt4,1,,rbmt2,1,,uedin,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,741,12,16,rbmt5,1,,rbmt6,1,,rbmt2,1,,ucl,1,,cmu-statxfer,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,569,12,24,ucl,2,,rbmt5,1,,rbmt2,1,,rbmt4,1,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,571,12,37,uedin,2,,rbmt3,1,,rbmt2,1,,rbmt5,1,,cmu-statxfer,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,135,12,13,saar,1,,rbmt6,1,,uedin,1,,rbmt4,1,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,27,12,17,rbmt2,1,,ucl,2,,limsi,1,,uedin,1,,rbmt4,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1251,12,24,rbmt6,2,,rbmt5,2,,rbmt2,1,,cmu-statxfer,2,,ucl,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,435,12,10,rbmt2,1,,rbmt3,1,,cmu-statxfer,1,,rbmt4,2,,ucl,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1111,12,19,cmu-statxfer,1,,rbmt6,2,,rbmt2,2,,ucl,1,,rbmt5,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1371,12,13,uedin,1,,saar,1,,rbmt4,1,,limsi,1,,ucl,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,927,12,50,rbmt5,1,,cmu-statxfer,2,,limsi,1,,ucl,2,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,401,47,95,limsi,1,,cmu-statxfer,2,,rbmt4,1,,rbmt3,2,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,163,47,110,rbmt5,2,,rbmt4,1,,saar,1,,rbmt2,1,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,127,47,35,rbmt4,1,,ucl,1,,saar,1,,cmu-statxfer,3,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,299,47,119,ucl,2,,cmu-statxfer,2,,saar,1,,rbmt5,2,,rbmt4,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1183,47,64,rbmt3,1,,uedin,1,,saar,1,,rbmt5,2,,cmu-statxfer,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1410,47,43,uedin,1,,rbmt2,1,,rbmt3,2,,rbmt4,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,90,47,30,liu,1,,ucl,2,,limsi,1,,cmu-statxfer,1,,rbmt6,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1013,47,32,rbmt6,2,,liu,1,,ucl,2,,rbmt5,1,,rbmt3,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,178,47,32,uedin,1,,ucl,1,,rbmt2,1,,liu,1,,rbmt6,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,416,47,41,rbmt2,1,,uedin,1,,rbmt3,1,,rbmt6,2,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,741,47,39,rbmt2,1,,rbmt4,1,,uedin,2,,rbmt6,1,,cmu-statxfer,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,800,47,40,cmu-statxfer,2,,rbmt5,1,,liu,2,,rbmt3,2,,rbmt4,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,636,47,156,liu,2,,limsi,1,,rbmt2,2,,uedin,1,,rbmt5,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,503,47,17,ucl,1,,uedin,1,,rbmt4,2,,rbmt5,1,,rbmt3,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,976,47,31,limsi,1,,liu,2,,uedin,2,,rbmt6,1,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,367,47,14,saar,1,,rbmt3,1,,cmu-statxfer,1,,rbmt4,1,,rbmt6,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,115,47,60,cmu-statxfer,2,,rbmt4,1,,limsi,1,,rbmt3,1,,ucl,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1057,47,36,limsi,1,,rbmt5,1,,ucl,1,,cmu-statxfer,1,,rbmt2,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,571,47,61,rbmt3,1,,rbmt2,1,,liu,2,,limsi,1,,ucl,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,163,47,147,rbmt5,2,,rbmt4,1,,saar,2,,rbmt2,1,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,388,51,53,rbmt3,1,,rbmt4,1,,limsi,1,,cmu-statxfer,1,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,401,51,75,rbmt2,1,,saar,1,,rbmt4,1,,rbmt3,1,,ucl,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1223,51,48,cmu-statxfer,1,,rbmt6,2,,liu,3,,ucl,1,,rbmt3,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,244,51,57,rbmt2,3,,rbmt3,1,,ucl,2,,saar,2,,rbmt5,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1047,51,91,rbmt5,1,,uedin,1,,rbmt3,3,,ucl,2,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,27,51,63,saar,3,,limsi,3,,liu,3,,rbmt2,1,,rbmt6,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,605,51,67,rbmt2,1,,rbmt3,3,,liu,2,,rbmt6,2,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1218,51,59,limsi,2,,uedin,1,,saar,3,,liu,2,,rbmt5,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1115,51,47,rbmt3,2,,cmu-statxfer,2,,uedin,1,,limsi,2,,rbmt6,3,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,129,51,44,saar,1,,cmu-statxfer,1,,rbmt4,2,,rbmt2,1,,rbmt5,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,842,51,35,limsi,1,,rbmt6,1,,saar,1,,uedin,1,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,710,51,64,liu,1,,ucl,2,,rbmt6,3,,rbmt4,3,,cmu-statxfer,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,963,51,65,saar,1,,rbmt3,1,,cmu-statxfer,1,,rbmt2,3,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,416,51,63,cmu-statxfer,1,,rbmt5,2,,limsi,1,,saar,1,,rbmt3,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1357,51,22,rbmt6,1,,rbmt2,1,,rbmt4,1,,limsi,1,,cmu-statxfer,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,265,51,64,ucl,2,,rbmt6,1,,uedin,1,,rbmt4,1,,liu,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,490,51,89,ucl,2,,rbmt2,3,,cmu-statxfer,2,,rbmt6,1,,rbmt3,3,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,979,51,62,cmu-statxfer,2,,saar,3,,ucl,2,,rbmt3,2,,rbmt5,3,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,537,51,39,rbmt4,2,,cmu-statxfer,2,,uedin,2,,rbmt5,2,,rbmt3,3,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,388,51,63,rbmt3,1,,rbmt4,1,,limsi,1,,cmu-statxfer,1,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1111,57,21,cmu-statxfer,1,,rbmt4,2,,rbmt5,1,,uedin,1,,rbmt3,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1354,57,35,ucl,2,,limsi,1,,rbmt3,1,,rbmt4,1,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1322,57,12,rbmt2,1,,uedin,1,,rbmt3,1,,rbmt5,2,,cmu-statxfer,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1251,57,24,rbmt5,2,,rbmt6,2,,uedin,1,,rbmt4,1,,ucl,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1112,57,23,liu,1,,rbmt3,1,,rbmt6,1,,saar,1,,rbmt5,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1036,57,19,rbmt5,1,,saar,1,,cmu-statxfer,1,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,979,57,34,uedin,1,,liu,1,,ucl,2,,rbmt4,2,,cmu-statxfer,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,299,57,38,ucl,2,,rbmt5,1,,cmu-statxfer,2,,rbmt6,2,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,705,57,25,cmu-statxfer,3,,rbmt6,3,,limsi,3,,liu,3,,rbmt2,3,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1319,57,18,rbmt5,3,,rbmt2,3,,uedin,1,,cmu-statxfer,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,500,57,19,rbmt4,1,,rbmt2,2,,cmu-statxfer,1,,saar,1,,ucl,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,809,57,27,rbmt3,3,,rbmt4,2,,rbmt5,3,,limsi,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1275,57,22,rbmt4,1,,ucl,1,,uedin,1,,rbmt2,1,,cmu-statxfer,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,265,57,28,cmu-statxfer,2,,rbmt4,2,,rbmt2,2,,saar,2,,ucl,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1195,57,26,cmu-statxfer,3,,rbmt5,1,,rbmt3,2,,rbmt6,1,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,141,57,9,rbmt3,1,,uedin,1,,rbmt6,1,,ucl,1,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,197,57,37,rbmt5,2,,liu,2,,rbmt2,3,,ucl,2,,rbmt3,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,469,57,30,ucl,3,,cmu-statxfer,1,,rbmt5,2,,rbmt4,2,,rbmt6,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,911,57,23,liu,1,,saar,1,,cmu-statxfer,1,,rbmt5,3,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,786,40,23,cmu-statxfer,1,,liu,1,,rbmt6,1,,rbmt4,1,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,945,40,18,uedin,1,,saar,1,,ucl,1,,rbmt6,1,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,606,40,14,rbmt5,1,,rbmt4,1,,rbmt3,1,,saar,1,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,163,40,82,limsi,2,,uedin,1,,cmu-statxfer,2,,saar,2,,ucl,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,342,40,27,rbmt2,1,,rbmt3,1,,cmu-statxfer,1,,uedin,1,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,637,40,38,rbmt6,1,,liu,2,,rbmt5,1,,rbmt3,2,,ucl,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1319,40,22,limsi,1,,rbmt2,2,,uedin,1,,cmu-statxfer,2,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1404,40,19,ucl,2,,saar,2,,uedin,2,,limsi,2,,rbmt5,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,27,40,21,rbmt6,2,,rbmt5,2,,rbmt4,1,,liu,1,,rbmt2,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,877,40,16,rbmt6,1,,rbmt3,1,,limsi,1,,cmu-statxfer,1,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,537,40,34,uedin,2,,rbmt5,1,,ucl,2,,rbmt6,2,,liu,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,460,40,32,cmu-statxfer,2,,ucl,2,,liu,1,,rbmt6,2,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1183,40,20,uedin,1,,saar,1,,liu,1,,rbmt6,3,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,243,40,28,limsi,1,,liu,1,,cmu-statxfer,2,,rbmt6,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,95,40,21,rbmt5,2,,rbmt2,1,,liu,1,,limsi,2,,rbmt6,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1125,40,27,cmu-statxfer,1,,rbmt3,2,,saar,2,,limsi,2,,ucl,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,367,40,19,rbmt3,1,,uedin,1,,rbmt6,1,,cmu-statxfer,1,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,465,40,49,rbmt2,1,,uedin,1,,limsi,1,,liu,1,,rbmt3,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1335,40,38,ucl,1,,limsi,3,,rbmt5,3,,rbmt2,3,,rbmt6,3,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,945,40,15,uedin,1,,saar,1,,ucl,1,,rbmt6,1,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,95,43,35,rbmt5,2,,limsi,2,,uedin,1,,rbmt6,1,,cmu-statxfer,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,61,43,12,cmu-statxfer,1,,rbmt2,1,,ucl,1,,rbmt3,3,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1103,43,38,rbmt4,2,,uedin,1,,rbmt2,2,,rbmt3,2,,rbmt6,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1251,43,25,cmu-statxfer,2,,ucl,1,,uedin,1,,rbmt5,2,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,390,43,22,rbmt3,1,,ucl,1,,liu,1,,rbmt4,1,,rbmt2,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,639,43,41,rbmt4,2,,rbmt6,2,,rbmt3,3,,cmu-statxfer,3,,ucl,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1115,43,57,rbmt2,3,,liu,2,,cmu-statxfer,2,,rbmt4,2,,rbmt3,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,605,43,60,limsi,2,,rbmt6,2,,rbmt5,2,,cmu-statxfer,2,,rbmt4,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1319,43,25,rbmt6,2,,rbmt2,2,,cmu-statxfer,2,,rbmt4,2,,rbmt5,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,427,43,22,limsi,1,,rbmt6,1,,ucl,2,,rbmt2,3,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,85,43,41,liu,1,,limsi,3,,rbmt5,2,,cmu-statxfer,2,,rbmt4,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,299,43,77,rbmt4,2,,rbmt3,3,,uedin,1,,ucl,2,,rbmt6,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1088,43,55,uedin,2,,cmu-statxfer,2,,rbmt2,1,,rbmt4,3,,liu,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1068,43,34,rbmt6,1,,liu,1,,rbmt5,3,,rbmt2,1,,ucl,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,401,43,26,limsi,1,,cmu-statxfer,2,,rbmt2,1,,rbmt4,2,,rbmt6,3,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,227,43,32,rbmt6,1,,rbmt2,3,,cmu-statxfer,2,,rbmt3,1,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,537,43,43,rbmt4,2,,rbmt6,3,,limsi,2,,rbmt3,3,,ucl,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,639,43,41,rbmt6,2,,rbmt2,1,,rbmt5,1,,rbmt3,1,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,402,43,80,limsi,1,,rbmt6,3,,ucl,3,,cmu-statxfer,2,,uedin,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,61,43,10,cmu-statxfer,1,,rbmt2,1,,ucl,1,,rbmt3,3,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,454,71,116,liu,1,,rbmt2,1,,rbmt5,1,,ucl,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,335,71,15,cmu-statxfer,1,,limsi,1,,saar,1,,rbmt6,1,,ucl,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,828,71,131,limsi,1,,rbmt2,2,,cmu-statxfer,2,,liu,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,61,71,37,rbmt3,1,,rbmt4,1,,rbmt6,1,,rbmt2,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,707,71,15,limsi,1,,rbmt6,1,,rbmt2,1,,saar,1,,rbmt3,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,775,71,65,cmu-statxfer,1,,rbmt5,1,,rbmt3,1,,limsi,1,,rbmt4,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,911,71,17,rbmt2,1,,uedin,1,,saar,1,,cmu-statxfer,1,,rbmt4,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,33,71,94,saar,1,,liu,1,,uedin,1,,rbmt6,2,,limsi,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,740,71,31,limsi,1,,rbmt6,1,,rbmt2,1,,rbmt3,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,639,71,27,limsi,1,,uedin,1,,rbmt6,2,,ucl,2,,liu,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,728,71,22,liu,1,,cmu-statxfer,1,,rbmt6,1,,limsi,1,,ucl,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,1269,71,88,rbmt2,1,,liu,1,,cmu-statxfer,2,,rbmt3,2,,rbmt4,2,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,99,71,28,limsi,1,,rbmt2,1,,liu,1,,cmu-statxfer,1,,rbmt5,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,809,71,29,cmu-statxfer,1,,rbmt4,2,,uedin,1,,limsi,1,,saar,1,
WMT08 German-English Europarl,CONSTITUENT_ACCEPT,163,71,159,limsi,1,,liu,1,,rbmt4,1,,rbmt2,2,,ucl,1,
